1;1;2023-08-01;1000000.0000;1
2;1;2023-09-15;5000.0000;1
3;1;2023-09-15;8000.0000;1
4;1;2023-09-15;5000.0000;1
5;1;2023-09-15;5000.0000;1
6;1;2023-09-15;5000.0000;1
7;1;2023-09-15;280000.0000;1
8;1;2023-09-15;280000.0000;1
9;1;2023-09-15;28005.0000;1
10;1;2023-09-15;5000.0000;1
11;3;2023-09-17;33005.0000;1
12;6;2023-09-17;2005000.0000;1
13;1;2023-09-20;533005.0000;1
14;1;2023-09-20;423005.0000;1
15;1;2023-10-11;4800000.0000;1
16;1;2023-10-14;508005;1
17;1;2023-10-14;546010;1
18;1;2023-10-14;815000;1
19;1;2023-10-14;558005;1
20;1;2023-10-14;545000;121;1;2023-10-15;5.2e+06;1
21;1;2023-10-15;2.4e+06;1
22;1;2023-10-15;280000;1
23;1;2023-10-15;240000;1
24;6;2023-10-24;1.68e+06;1
25;1;2023-11-03;28005;1
