9;2;1;2000-01-01 00:00:00;0;1794000.0000;0.0000;1794000.0000;0.0000
10;2;1;2000-01-01 00:00:00;0;22000.0000;0.0000;22000.0000;0.0000
11;4;1;2000-01-01 0:00:00;0;1228000.0000;0.0000;1228000.0000;0.0000
12;5;1;2000-01-01 00:00:00;2;1528000.0000;0.0000;1497440.0000;0.0000
13;1;1;2023-09-11 15:10:45;0;1014000.0000;0.0000;1014000.0000;0.0000
14;3;1;2023-09-11 15:15:10;0;312000.0000;0.0000;312000.0000;0.0000
15;1;1;2023-09-11 15:15:42;0;640000.0000;0.0000;640000.0000;0.0000
16;2;2;2023-09-19 12:02:47;0;260000.0000;0.0000;260000.0000;300000.0000
17;6;1;2023-09-20 08:09:57;0;604009.0000;0.0000;604009.0000;573005.0000
18;7;1;2023-09-20 08:10:18;0;1712000.0000;0.0000;1712000.0000;1740000.0000
19;8;1;2023-09-21 16:51:00;10;386000.0000;100000.0000;447400.0000;330000.0000
20;9;1;2023-10-06 10:51:10;0;28000.0000;0.0000;28000.0000;35000.0000
21;0;0;2023-10-14 15:13:45;0;1.256e+06;0;1.256e+06;1.1e+06
22;10;0;2023-10-14 15:18:40;0;2.72e+06;0;2.72e+06;2.185e+06
23;13;0;2023-10-14 15:34:31;0;320000;0;320000;260000
24;15;0;2023-10-14 15:46:37;0;340000;0;340000;280000
25;14;0;2023-10-14 15:50:09;0;4000;0;4000;5000
26;10;0;2023-10-14 15:55:47;0;4000;0;4000;5000
27;11;0;2023-10-14 15:56:32;0;4000;0;4000;5000
28;12;0;2023-10-14 16:01:55;0;4000;0;4000;5000
29;9;0;2023-10-14 16:13:27;0;4000;0;4000;5000
30;13;0;2023-10-14 16:14:34;0;4000;0;4000;5000
31;1;0;2023-10-14 17:12:02;0;34009;0;34009;25000
32;1;0;2023-10-14 17:18:25;0;36000;0;36000;45000
33;1;0;2023-10-14 17:48:44;0;36000;0;36000;45000
34;1;0;2023-10-14 17:51:28;0;4000;0;4000;5000
35;2;0;2023-10-14 17:53:28;0;40000;0;40000;50000
36;1;0;2023-10-14 23:31:39;0;150045;0;150045;100000
37;1;0;2023-10-14 23:37:20;0;30009;0;30009;20000
38;1;0;2023-10-14 23:41:09;0;10000;0;10000;8005
39;1;0;2023-10-14 23:46:01;0;10000;0;10000;8005
40;1;0;2023-10-14 23:52:18;0;10000;0;10000;8005
41;1;0;2023-10-14 23:58:19;0;30009;0;30009;20000
42;1;0;2023-10-15 06:34:06;0;10000;0;10000;8005
43;1;0;2023-10-15 06:47:38;0;4000;0;4000;5000
44;1;0;2023-10-15 06:51:04;0;4000;0;4000;5000
45;1;0;2023-10-15 06:52:44;0;0;0;0;0
46;1;0;2023-10-15 06:55:15;0;4000;0;4000;5000
47;1;2;2023-10-15 06:58:33;0;4000;0;4000;5000
48;1;0;2023-10-15 07:22:57;0;30009;0;30009;20000
49;1;0;2023-10-15 07:24:48;0;30009;0;30009;20000
50;2;1;2023-10-15 07:26:39;0;4000;0;4000;5000
51;3;2;2023-10-15 07:27:25;0;30009;0;30009;20000
52;16;1;2023-10-15 07:28:29;0;40009;0;40009;28005
53;17;1;2023-10-15 07:32:24;0;140036;0;140036;105000
54;18;1;2023-10-15 07:33:30;0;4000;0;4000;5000
55;10;1;2023-10-15 08:03:12;0;3e+06;0;3e+06;2.4e+06
56;19;1;2023-10-16 19:34:04;0;3.6e+06;0;3.6e+06;2.88e+06
57;1;1;2023-10-21 15:53:36;0;340006;0;340006;280000
58;2;1;2023-10-21 16:03:01;0;4000;0;4000;5000
59;1;1;2023-10-27 09:55:07;0;1.70003e+06;0;1.70003e+06;1.4e+06
60;1;1;2023-10-27 10:05:59;0;340006;0;340006;280000
61;20;1;2023-11-03 10:14:21;0;1.36402e+06;0;1.36402e+06;1.125e+06
62;21;1;2023-11-10 10:49:22;9;2.10005e+06;0;1.91103e+06;1.71e+06
